COLLECTER_DIAMANT;;;;;;;;;
NBR_DIAMANT;4;;;;;;;;;
NB_LIG;22;;;;;;;;
NB_COL;40;;;;;;;;
A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;
A;E;T;T;T;T;T;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;R;T;T;T;T;T;T;T;T;T;R;T;A;
A;T;T;T;T;T;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;R;T;T;T;T;T;T;T;T;A;
A;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;A;
A;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;A;
A;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;A;
A;T;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;R;T;T;T;T;T;T;T;T;T;R;T;T;T;T;A;
A;T;T;R;T;T;T;T;T;R;T;T;T;T;T;T;T;T;T;T;T;R;T;T;R;T;T;T;T;T;T;T;T;T;T;T;T;T;R;A;
A;T;T;T;T;T;T;R;T;T;T;T;T;T;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;R;T;T;A;
A;T;T;T;T;T;T;T;T;V;V;T;T;T;R;T;T;V;V;T;T;T;T;T;T;V;V;T;T;T;T;T;T;V;V;T;T;T;T;A;
A;T;T;T;T;T;T;T;T;V;L;T;T;T;R;T;T;V;L;T;T;T;T;T;T;V;L;T;T;T;T;T;T;V;L;T;R;T;T;A;
A;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;A;
A;T;T;T;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;A;
A;T;T;T;R;T;T;T;T;T;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;A;
A;T;T;T;T;T;T;R;T;T;T;T;T;T;T;T;T;T;T;T;T;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;A;
A;T;T;T;T;T;T;T;T;T;T;T;T;R;T;T;T;T;T;T;T;T;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;A;
A;T;T;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;A;
A;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;R;T;T;T;T;T;T;T;T;T;T;T;T;T;A;
A;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;R;T;T;A;
A;T;T;T;T;R;T;T;T;T;T;T;T;R;T;R;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;R;T;T;T;T;A;
A;T;T;T;T;T;T;T;T;T;T;T;T;R;T;R;R;T;T;T;T;T;T;T;T;T;T;T;T;R;T;T;R;T;T;T;T;T;S;A;
A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;
